Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low
23.0,24.0,,,,,46.0,45.0,32.0,30.0,,,,,52.0,55.0,15.0,19.0,,,,,42.0,46.0,39.0,33.0,,,,,60.0,59.0,26.0,24.0,,,,,47.0,48.0,19.0,20.0,,,,,35.0,41.0,28.0,35.0,,,,,61.0,66.0,28.0,37.0,,,,,70.0,78.0
54.0,42.0,,,,,85.0,69.0,30.0,27.0,,,,,54.0,41.0,24.0,24.0,,,,,46.0,45.0,18.0,26.0,,,,,34.0,49.0,25.0,27.0,,,,,44.0,44.0,25.0,27.0,,,,,48.0,53.0,23.0,25.0,,,,,49.0,54.0,28.0,21.0,,,,,54.0,42.0
19.0,27.0,,,,,31.0,46.0,29.0,26.0,,,,,48.0,46.0,19.0,12.0,,,,,46.0,29.0,29.0,24.0,,,,,55.0,43.0,24.0,24.0,,,,,54.0,46.0,24.0,22.0,,,,,43.0,38.0,32.0,27.0,,,,,51.0,62.0,24.0,20.0,,,,,50.0,43.0
14.0,14.0,,,,,29.0,23.0,31.0,21.0,,,,,46.0,33.0,20.0,15.0,,,,,42.0,35.0,23.0,24.0,,,,,38.0,39.0,18.0,26.0,,,,,35.0,46.0,20.0,14.0,,,,,35.0,22.0,15.0,17.0,,,,,40.0,36.0,20.0,15.0,,,,,41.0,37.0
19.0,8.0,,,,,30.0,19.0,28.0,21.0,,,,,45.0,36.0,27.0,20.0,,,,,45.0,42.0,35.0,22.0,,,,,59.0,43.0,27.0,20.0,,,,,36.0,33.0,14.0,14.0,,,,,21.0,25.0,16.0,21.0,,,,,46.0,44.0,23.0,31.0,,,,,52.0,54.0
14.0,18.0,,,,,23.0,33.0,38.0,27.0,,,,,63.0,47.0,23.0,21.0,,,,,61.0,48.0,34.0,35.0,,,,,56.0,57.0,43.0,44.0,,,,,60.0,72.0,16.0,11.0,,,,,26.0,24.0,20.0,24.0,,,,,47.0,39.0,19.0,24.0,,,,,37.0,46.0
12.0,13.0,,,,,22.0,20.0,23.0,22.0,,,,,46.0,46.0,22.0,23.0,,,,,40.0,50.0,30.0,32.0,,,,,56.0,50.0,21.0,29.0,,,,,41.0,47.0,13.0,9.0,,,,,21.0,19.0,28.0,15.0,,,,,51.0,46.0,31.0,21.0,,,,,41.0,44.0
12.0,8.0,,,,,23.0,18.0,19.0,25.0,,,,,39.0,38.0,16.0,18.0,,,,,42.0,35.0,26.0,16.0,,,,,38.0,35.0,17.0,21.0,,,,,27.0,41.0,10.0,17.0,,,,,18.0,21.0,23.0,13.0,,,,,36.0,37.0,21.0,10.0,,,,,35.0,27.0
7.0,12.0,,,,,15.0,16.0,19.0,22.0,,,,,25.0,39.0,22.0,18.0,,,,,33.0,37.0,23.0,18.0,,,,,32.0,34.0,16.0,23.0,,,,,28.0,41.0,8.0,8.0,,,,,21.0,17.0,11.0,19.0,,,,,30.0,32.0,14.0,10.0,,,,,34.0,25.0
11.0,14.0,,,,,19.0,27.0,16.0,26.0,,,,,32.0,45.0,22.0,24.0,,,,,46.0,50.0,27.0,28.0,,,,,48.0,47.0,27.0,22.0,,,,,43.0,43.0,19.0,11.0,,,,,29.0,18.0,15.0,9.0,,,,,31.0,21.0,7.0,14.0,,,,,16.0,27.0
11.0,15.0,,,,,17.0,27.0,10.0,14.0,,,,,17.0,30.0,12.0,16.0,,,,,27.0,37.0,23.0,20.0,,,,,39.0,31.0,14.0,11.0,,,,,32.0,20.0,19.0,14.0,,,,,31.0,34.0,9.0,15.0,,,,,18.0,23.0,12.0,18.0,,,,,30.0,29.0
